year,region,educ,educ_count,educ_share
2005,West,Less than high school,6632790.896528562,0.15484916469500254
2005,West,College,8531594.630480766,0.19917864480512296
2005,West,Advanced,4271356.850054105,0.09971911532614786
2005,Northeast,College,6966660.5732421875,0.19357736714682752
2005,Northeast,Less than high school,4689132.246938069,0.13029339739213436
2005,Northeast,High school,12412580.031689962,0.3448990426292005
2005,Northeast,Some college,7506586.3670698805,0.20857987983206727
2005,Northeast,Advanced,4414065.096893311,0.12265031299977025
2005,Midwest,Some college,11484280.20520846,0.27141228260322925
2005,Midwest,Advanced,3769757.1205126443,0.08909207774938137
2005,Midwest,Less than high school,4864708.219900131,0.11496946596295803
2005,Midwest,High school,14797032.34718577,0.34970379103795207
2005,Midwest,College,7397267.394082387,0.17482238264647937
2006,South,Less than high school,11619453.843917847,0.16737428944238109
2006,South,Some college,17177793.527570087,0.2474402863065673
2006,South,Advanced,6207773.167427063,0.0894208658061373
2006,South,College,12034810.48050817,0.17335736083698647
2006,South,High school,22382144.617509205,0.3224071976079278
2006,West,High school,11298581.524276733,0.2594664710369052
2006,West,Some college,12669594.751894632,0.2909511280401395
2006,West,College,8584587.667603811,0.19714091212548765
2006,West,Less than high school,6681960.203636169,0.15344799078727725
2006,West,Advanced,4310715.38134257,0.09899349801019047
2006,Northeast,Some college,7549526.399847667,0.20872171221601005
2006,Northeast,High school,12271644.766792933,0.3392740910851498
2006,Northeast,Less than high school,4476797.009076436,0.12376998072313525
2006,Northeast,College,7274553.26612854,0.201119531596519
2006,Northeast,Advanced,4597775.9349530535,0.1271146843791859
2006,Midwest,Some college,11614083.39925766,0.27177506978989546
2006,Midwest,College,7631614.500907898,0.17858340536166561
2006,Midwest,High school,14795723.479086557,0.3462269593636431
2006,Midwest,Advanced,3929553.805796305,0.09195342612071314
2006,Midwest,Less than high school,4763199.837834676,0.11146113936408272
2007,South,Less than high school,11057103.933372498,0.1563433433885247
2007,South,Advanced,6478772.044813792,0.09160743071982243
2007,South,Some college,17776633.85441335,0.25135500106897574
2007,South,High school,22735401.692732494,0.3214701367864203
2007,South,College,12675303.763052622,0.17922408803625695
2007,West,High school,11461097.30087916,0.2573699757117292
2007,West,College,9089743.325084686,0.2041189388230257
2007,West,Advanced,4488667.764060974,0.10079735675272365
2007,West,Less than high school,6766002.065575917,0.151937091324511
2007,West,Some college,12726091.450117746,0.28577663738801046
2007,Northeast,Some college,7569516.1962343855,0.20851331760741573
2007,Northeast,High school,12402261.994879404,0.34163831972182696
2007,Northeast,College,7416675.689216614,0.20430310385571926
2007,Northeast,Less than high school,4287447.76897939,0.11810397589520182
2007,Northeast,Advanced,4626413.6324704485,0.1274412829198362
2007,Midwest,Some college,11759094.953358969,0.2741011177726205
2007,Midwest,Less than high school,4522662.728280385,0.10542196606517866
2007,Midwest,College,7849007.275760651,0.18295809977083946
2007,Midwest,High school,14774006.57992808,0.3443778397572665
2007,Midwest,Advanced,3995801.2473246255,0.0931409766340949
2008,South,High school,22737088.99383418,0.3170456005648013
2008,South,Advanced,6760623.294307709,0.09427002168647997
2008,South,College,12931630.45375824,0.18031844554092505
2008,South,Some college,18435657.75638199,0.2570665130775664
2008,South,Less than high school,10850515.986820221,0.15129941913022726
2008,West,Some college,12990549.0058225,0.2874868468339233
2008,West,College,9410217.202854156,0.20825245110567175
2008,West,Advanced,4699127.658250173,0.1039938645191143
2008,West,Less than high school,6597004.412020366,0.14599475327110198
2008,West,High school,11489687.294920603,0.25427208427018866
2008,Northeast,Advanced,4673953.446386973,0.12866639705448632
2008,Northeast,High school,12190434.764478048,0.3355830000586797
2008,Northeast,Some college,7781865.704504649,0.214222206970092
2008,Northeast,Less than high school,4166929.7957356772,0.11470885402394035
2008,Northeast,College,7512955.462650299,0.20681954189280166
2008,Midwest,High school,14697994.349599203,0.34121363237655417
2008,Midwest,Less than high school,4507742.262060165,0.10464714262846321
2008,Midwest,Some college,11896198.23128891,0.27616999390670716
2008,Midwest,College,7919245.830858867,0.18384512684915552
2008,Midwest,Advanced,4054455.6869901023,0.09412410423911986
2009,South,High school,22985851.262477875,0.31661365443537065
2009,South,Advanced,7037520.991967519,0.09693681621745052
2009,South,College,13177837.124468485,0.1815152774586557
2009,South,Some college,18562869.304490406,0.25569024267093016
2009,South,Less than high school,10834973.633115133,0.1492440092175929
2009,West,Some college,13155053.995919546,0.2878843567196308
2009,West,College,9641928.840794882,0.21100335146702395
2009,West,Advanced,4683308.730461121,0.10248922745633983
2009,West,High school,11628365.218772888,0.254474397577215
2009,West,Less than high school,6586962.614209493,0.14414866677979044
2009,Northeast,Advanced,4765448.799194336,0.13015397231243353
2009,Northeast,Some college,8038912.321829478,0.21955883188470418
2009,Northeast,High school,12052809.38675054,0.32918641775678764
2009,Northeast,Less than high school,4240353.418425242,0.11581256344836983
2009,Northeast,College,7516408.899107615,0.2052882145977048
2009,Midwest,High school,14801618.871868134,0.341644176165952
2009,Midwest,Less than high school,4466352.914634705,0.10309030891795863
2009,Midwest,Advanced,4252666.5380528765,0.09815809800797916
2009,Midwest,Some college,11969658.290383657,0.276278161261016
2009,Midwest,College,7834366.6003888445,0.1808292556470942
2010,South,Advanced,7225871.27658844,0.09841583430181047
2010,South,Some college,18946169.306151073,0.25804542977806116
2010,South,High school,23233893.330652874,0.31644391502294245
2010,South,College,13364041.508524576,0.18201726052978276
2010,South,Less than high school,10651860.889798483,0.14507756036740305
2010,West,Some college,13210584.59305191,0.2865521500972897
2010,West,College,9716923.136777243,0.21077077986677994
2010,West,Advanced,4886818.506668091,0.10600048320022631
2010,West,High school,11847080.618906656,0.25697624505649247
2010,West,Less than high school,6440444.373305003,0.13970034177921167
2010,Northeast,Less than high school,4158675.545654297,0.112667045326493
2010,Northeast,High school,12100856.168251038,0.3278369989268325
2010,Northeast,Advanced,4865831.91815567,0.13182536104477185
2010,Northeast,College,7666753.483642578,0.20770806781289877
2010,Northeast,Some college,8119080.2411015825,0.2199625268890038
2010,Midwest,College,7957375.842366536,0.1831515703737014
2010,Midwest,Some college,11946082.795279184,0.2749579593966924
2010,Midwest,High school,14855272.376150766,0.3419175514539877
2010,Midwest,Less than high school,4415012.911131541,0.10161849382414301
2010,Midwest,Advanced,4273199.096801758,0.09835442495147559
2011,South,Advanced,7546968.224885304,0.10172814193292205
